ID,mapped count,proportion > Q30,species,batch
C4973,14640312,0.979352694122912,chimpanzee,mm8
H18505,11952124,0.919239877364057,human,mm1
H18507,7864959,0.947232147046158,human,mm1
H18516,5009693,0.923458982416687,human,mm1
H19193,10081244,0.919217310879491,human,mm1
H19204,15820298,0.97475610130732,human,mm2
H19238,8941143,0.983540135752219,human,mm7
R150-99,14008661,0.977949070221629,rhesus macaque,mm8
H18909,11532097,0.973255341157814,human,mm2
H19099,13030793,0.973440526604943,human,mm2
H19143,8312531,0.972533636265537,human,mm2
H19201,18731551,0.98577058568188,human,mm7
H19210,12817715,0.985610929873226,human,mm7
H19223,10814930,0.984915575043019,human,mm7
